編號,行政區,藥局名稱,地址,電話,平價保險套來源
1,楠梓區,世詠藥局,高雄市楠梓區楠都東街138號,07-3539869,藥局販售
2,楠梓區,建佑藥局,高雄市楠梓區右昌街191.193號,07-3626893,藥局販售
3,左營區,杏光藥局,高雄市左營區果峰街47巷1號,07-5837060,藥局販售
4,三民區,春仁藥局,高雄市三民區覺民路225號,07-3962341,藥局販售
5,三民區,河堤健保藥局,高雄市三民區裕誠路107號,07-3108281,藥局販售
6,三民區,利民藥局,高雄市三民區孝順街74號,07-3125436,藥局販售
7,三民區,安成藥局,高雄市三民區察哈爾二街63號,07-3229295,藥局販售
8,鼓山區,崧柏藥局,高雄市鼓山區華榮路543號,07-5542027,藥局販售
9,鼓山區,弘興藥局,高雄市鼓山區鼓山三路48之11號,07-5612677,藥局販售
10,苓雅區,柏松藥局,高雄市苓雅區輔仁路175號,07-7119786,藥局販售
11,前鎮區,彥芳藥局,高雄市前鎮區長江街65號,07-3302007,藥局販售
12,鳳山區,中華藥局,高雄市鳳山區中山路142號,07-7472853,藥局販售
13,鳳山區,建明藥局,高雄市鳳山區海洋一路122號,07-7668550,藥局販售
14,鳳山區,長喜藥局,高雄市鳳山區大明路76號,07-7671007,藥局販售
15,鳳山區,菩提大藥局,高雄市鳳山區維新路109號,07-7903323,藥局販售
16,鳳山區,寶輝藥局,高雄市鳳山區南正二路99-1號,07-8314925,藥局販售
17,林園區,弘寶藥局,高雄市林園區鳳林路二段757-1號,07-6433159,藥局販售
18,大寮區,福民藥局,高雄市大寮區鳳林三路408-1號,07-7816570,藥局販售
19,大樹區,健康大藥局,高雄市大樹區九大路333號,07-6515007,藥局販售
20,仁武區,星億藥局,高雄市仁武區中正路169號,07-3712815,藥局販售
21,岡山區,天德藥局,高雄市岡山區中山北路39號,07-6230111,藥局販售
22,岡山區,宗明藥局,高雄市岡山區民有路31號,07-6231391,藥局販售
23,燕巢區,安康健保藥局,高雄市燕巢區中興路8號,07-6141103,藥局販售
24,路竹區,宗明藥局,高雄市路竹區中正路114號,07-6962345,藥局販售
25,路竹區,醫康健保藥局,高雄市路竹區中和街30號,07-6971886,藥局販售
26,梓官區,順成藥局,高雄市梓官區城隍巷31號,07-6172407,藥局販售
27,梓官區,復安堂藥局,高雄市梓官區港十街23號,07-6101752,藥局販售
28,旗山區,賜安藥局,高雄市旗山區中正路11號,07-6612057,藥局販售
29,美濃區,健民藥局,高雄市美濃區中正路一段31-1號,07-6818321,藥局販售
30,鳥松區,復元藥局,高雄市鳥松區 大仁南路5號,07-7356927,藥局販售
31,阿蓮區,佑聖健保藥局,高雄市阿蓮區民生路79號,07-6321516,藥局販售
